sample,ratio,condition,amino_acid,batch,ratio_sample_is,ratio_adj,concentration_sample_uM,cell_line,dox_conc,timepoint,replicate
32,4.54E+00,4.69,Thr,2,0.05,9.07E+01,425.383,M,100,16,1
33,4.08E+00,4.69,Thr,2,0.05,8.17E+01,383.0792,M,1000,16,1
34,3.81E+00,4.69,Thr,2,0.05,7.63E+01,357.6594,M,0,18,1
35,4.16E+00,4.69,Thr,2,0.05,8.31E+01,389.9266,M,100,18,1
36,4.02E+00,4.69,Thr,2,0.05,8.03E+01,376.7946,M,1000,18,1
37,3.99E+00,4.69,Thr,2,0.05,7.99E+01,374.6372,M,0,20,1
38,4.00E+00,4.69,Thr,2,0.05,7.99E+01,374.8248,M,100,20,1
39,4.58E+00,4.69,Thr,2,0.05,9.15E+01,429.2288,M,1000,20,1
40,4.05E+00,4.69,Thr,2,0.05,8.09E+01,379.5148,M,0,22,1
41,3.79E+00,4.69,Thr,2,0.05,7.58E+01,355.4082,M,100,22,1
42,3.84E+00,4.69,Thr,2,0.05,7.68E+01,360.0044,M,1000,22,1
43,3.58E+00,4.69,Thr,2,0.05,7.15E+01,335.5226,M,0,24,1
44,4.33E+00,4.69,Thr,2,0.05,8.65E+01,405.685,M,100,24,1
45,4.08E+00,4.69,Thr,2,0.05,8.15E+01,382.235,M,1000,24,1
46,3.77E+00,4.69,Thr,2,0.05,7.53E+01,353.2508,E,0,16,1
47,4.12E+00,4.69,Thr,2,0.05,8.24E+01,386.2684,E,100,16,1
48,5.00E+00,4.69,Thr,2,0.05,1.00E+02,468.8124,E,1000,16,1
49,4.47E+00,4.69,Thr,2,0.05,8.93E+01,419.0046,E,0,18,1
50,3.89E+00,4.69,Thr,2,0.05,7.78E+01,364.6944,E,100,18,1
51,3.64E+00,4.69,Thr,2,0.05,7.28E+01,341.432,E,1000,18,1
52,3.80E+00,4.69,Thr,2,0.05,7.59E+01,356.1586,E,0,20,1
53,3.78E+00,4.69,Thr,2,0.05,7.55E+01,354.2826,E,100,20,1
54,3.74E+00,4.69,Thr,2,0.05,7.48E+01,350.6244,E,1000,20,1
55,4.64E+00,4.69,Thr,2,0.05,9.28E+01,435.232,E,0,22,1
56,4.53E+00,4.69,Thr,2,0.05,9.05E+01,424.5388,E,100,22,1
57,4.50E+00,4.69,Thr,2,0.05,9.00E+01,422.0062,E,1000,22,1
58,3.78E+00,4.69,Thr,2,0.05,7.56E+01,354.4702,E,0,24,1
59,3.97E+00,4.69,Thr,2,0.05,7.94E+01,372.4798,E,100,24,1
60,3.84E+00,4.69,Thr,2,0.05,7.69E+01,360.4734,E,1000,24,1
M0,1.28E+00,4.49,Glu,2,0.05,2.56E+01,114.7644,,,,
M0,1.60E+00,4.49,Glu,2,0.05,3.20E+01,143.5004,,,,
31,2.85E+00,4.49,Glu,2,0.05,5.70E+01,255.8402,M,0,16,1
32,3.12E+00,4.49,Glu,2,0.05,6.24E+01,280.2658,M,100,16,1
33,2.94E+00,4.49,Glu,2,0.05,5.88E+01,264.012,M,1000,16,1
34,3.28E+00,4.49,Glu,2,0.05,6.57E+01,294.8134,M,0,18,1
35,2.59E+00,4.49,Glu,2,0.05,5.18E+01,232.7616,M,100,18,1
36,2.81E+00,4.49,Glu,2,0.05,5.63E+01,252.6074,M,1000,18,1
37,3.14E+00,4.49,Glu,2,0.05,6.29E+01,282.3312,M,0,20,1
38,3.54E+00,4.49,Glu,2,0.05,7.08E+01,318.0716,M,100,20,1
39,2.68E+00,4.49,Glu,2,0.05,5.37E+01,241.0232,M,1000,20,1
40,3.33E+00,4.49,Glu,2,0.05,6.66E+01,299.2136,M,0,22,1
41,2.69E+00,4.49,Glu,2,0.05,5.37E+01,241.2926,M,100,22,1
42,3.05E+00,4.49,Glu,2,0.05,6.09E+01,273.6206,M,1000,22,1
43,3.05E+00,4.49,Glu,2,0.05,6.09E+01,273.441,M,0,24,1
44,2.91E+00,4.49,Glu,2,0.05,5.82E+01,261.318,M,100,24,1
45,3.08E+00,4.49,Glu,2,0.05,6.16E+01,276.4044,M,1000,24,1
46,2.43E+00,4.49,Glu,2,0.05,4.86E+01,218.3038,E,0,16,1
47,1.82E+00,4.49,Glu,2,0.05,3.65E+01,163.7952,E,100,16,1
48,3.89E+00,4.49,Glu,2,0.05,7.78E+01,349.5016,E,1000,16,1
49,1.83E+00,4.49,Glu,2,0.05,3.66E+01,164.5136,E,0,18,1
50,2.13E+00,4.49,Glu,2,0.05,4.25E+01,190.825,E,100,18,1
51,2.29E+00,4.49,Glu,2,0.05,4.57E+01,205.3726,E,1000,18,1
52,2.53E+00,4.49,Glu,2,0.05,5.06E+01,227.0144,E,0,20,1
53,2.35E+00,4.49,Glu,2,0.05,4.70E+01,210.8504,E,100,20,1
54,2.48E+00,4.49,Glu,2,0.05,4.96E+01,222.704,E,1000,20,1
55,2.19E+00,4.49,Glu,2,0.05,4.39E+01,197.0212,E,0,22,1
56,2.27E+00,4.49,Glu,2,0.05,4.54E+01,203.7562,E,100,22,1
57,2.38E+00,4.49,Glu,2,0.05,4.77E+01,214.0832,E,1000,22,1
58,2.33E+00,4.49,Glu,2,0.05,4.66E+01,209.3238,E,0,24,1
59,3.20E+00,4.49,Glu,2,0.05,6.41E+01,287.6294,E,100,24,1
60,2.26E+00,4.49,Glu,2,0.05,4.51E+01,202.5888,E,1000,24,1
M0,1.19E+00,3.66,His,2,0.05,2.38E+01,86.9616,,,,
M0,8.60E-01,3.66,His,2,0.05,1.72E+01,62.93004,,,,
31,1.46E+00,3.66,His,2,0.05,2.91E+01,106.506,M,0,16,1
32,1.28E+00,3.66,His,2,0.05,2.56E+01,93.696,M,100,16,1
33,1.27E+00,3.66,His,2,0.05,2.53E+01,92.598,M,1000,16,1
34,1.51E+00,3.66,His,2,0.05,3.02E+01,110.6052,M,0,18,1
35,1.26E+00,3.66,His,2,0.05,2.51E+01,91.866,M,100,18,1
36,1.35E+00,3.66,His,2,0.05,2.71E+01,99.1128,M,1000,18,1
37,1.46E+00,3.66,His,2,0.05,2.92E+01,106.7256,M,0,20,1
38,1.34E+00,3.66,His,2,0.05,2.68E+01,97.9416,M,100,20,1
39,1.57E+00,3.66,His,2,0.05,3.14E+01,115.0704,M,1000,20,1
40,1.31E+00,3.66,His,2,0.05,2.63E+01,96.1116,M,0,22,1
41,1.25E+00,3.66,His,2,0.05,2.50E+01,91.4268,M,100,22,1
42,1.11E+00,3.66,His,2,0.05,2.23E+01,81.5448,M,1000,22,1
43,1.32E+00,3.66,His,2,0.05,2.63E+01,96.4044,M,0,24,1
44,1.22E+00,3.66,His,2,0.05,2.44E+01,89.3772,M,100,24,1
45,1.33E+00,3.66,His,2,0.05,2.65E+01,97.0632,M,1000,24,1
46,1.40E+00,3.66,His,2,0.05,2.80E+01,102.5532,E,0,16,1
47,1.36E+00,3.66,His,2,0.05,2.71E+01,99.2592,E,100,16,1
48,1.35E+00,3.66,His,2,0.05,2.70E+01,98.8932,E,1000,16,1
49,1.28E+00,3.66,His,2,0.05,2.56E+01,93.8424,E,0,18,1
50,1.45E+00,3.66,His,2,0.05,2.90E+01,106.14,E,100,18,1
51,1.41E+00,3.66,His,2,0.05,2.81E+01,102.9192,E,1000,18,1
52,1.54E+00,3.66,His,2,0.05,3.07E+01,112.4352,E,0,20,1
53,1.54E+00,3.66,His,2,0.05,3.08E+01,112.8744,E,100,20,1
54,1.49E+00,3.66,His,2,0.05,2.98E+01,108.9948,E,1000,20,1
55,1.29E+00,3.66,His,2,0.05,2.58E+01,94.428,E,0,22,1
56,1.32E+00,3.66,His,2,0.05,2.64E+01,96.5508,E,100,22,1
57,1.70E+00,3.66,His,2,0.05,3.40E+01,124.3668,E,1000,22,1
58,1.38E+00,3.66,His,2,0.05,2.76E+01,100.9428,E,0,24,1
59,1.33E+00,3.66,His,2,0.05,2.66E+01,97.2096,E,100,24,1
60,1.31E+00,3.66,His,2,0.05,2.62E+01,95.8188,E,1000,24,1
M0,1.38E+00,4.54,Pro,2,0.05,2.75E+01,124.85,,,,
M0,1.45E+00,4.54,Pro,2,0.05,2.89E+01,131.3876,,,,
31,1.60E+00,4.54,Pro,2,0.05,3.19E+01,144.9168,M,0,16,1
32,1.59E+00,4.54,Pro,2,0.05,3.18E+01,144.2812,M,100,16,1
33,1.56E+00,4.54,Pro,2,0.05,3.11E+01,141.2848,M,1000,16,1
34,1.49E+00,4.54,Pro,2,0.05,2.98E+01,135.2012,M,0,18,1
35,1.57E+00,4.54,Pro,2,0.05,3.14E+01,142.4652,M,100,18,1
36,1.47E+00,4.54,Pro,2,0.05,2.93E+01,133.2036,M,1000,18,1
37,1.52E+00,4.54,Pro,2,0.05,3.04E+01,138.1976,M,0,20,1
38,1.65E+00,4.54,Pro,2,0.05,3.29E+01,149.366,M,100,20,1
39,1.55E+00,4.54,Pro,2,0.05,3.09E+01,140.4676,M,1000,20,1
40,1.52E+00,4.54,Pro,2,0.05,3.03E+01,137.562,M,0,22,1
41,1.54E+00,4.54,Pro,2,0.05,3.08E+01,139.832,M,100,22,1
42,1.55E+00,4.54,Pro,2,0.05,3.11E+01,141.0124,M,1000,22,1
43,1.60E+00,4.54,Pro,2,0.05,3.20E+01,145.3708,M,0,24,1
44,1.65E+00,4.54,Pro,2,0.05,3.31E+01,150.0924,M,100,24,1
45,1.62E+00,4.54,Pro,2,0.05,3.24E+01,147.2776,M,1000,24,1
46,1.42E+00,4.54,Pro,2,0.05,2.84E+01,128.7544,E,0,16,1
47,1.40E+00,4.54,Pro,2,0.05,2.79E+01,126.8476,E,100,16,1
48,1.57E+00,4.54,Pro,2,0.05,3.15E+01,142.9192,E,1000,16,1
49,1.44E+00,4.54,Pro,2,0.05,2.88E+01,130.9336,E,0,18,1
50,1.43E+00,4.54,Pro,2,0.05,2.87E+01,130.1164,E,100,18,1
51,1.44E+00,4.54,Pro,2,0.05,2.88E+01,130.6612,E,1000,18,1
52,1.64E+00,4.54,Pro,2,0.05,3.28E+01,149.0028,E,0,20,1
53,1.46E+00,4.54,Pro,2,0.05,2.91E+01,132.114,E,100,20,1
54,1.44E+00,4.54,Pro,2,0.05,2.87E+01,130.4796,E,1000,20,1
55,1.58E+00,4.54,Pro,2,0.05,3.15E+01,143.01,E,0,22,1
56,1.62E+00,4.54,Pro,2,0.05,3.25E+01,147.3684,E,100,22,1
57,1.64E+00,4.54,Pro,2,0.05,3.27E+01,148.458,E,1000,22,1
58,1.53E+00,4.54,Pro,2,0.05,3.05E+01,138.47,E,0,24,1
59,1.59E+00,4.54,Pro,2,0.05,3.18E+01,144.372,E,100,24,1
60,1.56E+00,4.54,Pro,2,0.05,3.12E+01,141.7388,E,1000,24,1
M0,4.17E+00,4.11,Arg,2,0.05,8.34E+01,342.6918,,,,
M0,4.24E+00,4.11,Arg,2,0.05,8.48E+01,348.3636,,,,
31,3.75E+00,4.11,Arg,2,0.05,7.49E+01,308.0034,M,0,16,1
32,3.74E+00,4.11,Arg,2,0.05,7.48E+01,307.428,M,100,16,1
33,3.14E+00,4.11,Arg,2,0.05,6.28E+01,258.1902,M,1000,16,1
34,3.00E+00,4.11,Arg,2,0.05,6.01E+01,246.9288,M,0,18,1
35,3.19E+00,4.11,Arg,2,0.05,6.37E+01,261.807,M,100,18,1
36,2.92E+00,4.11,Arg,2,0.05,5.84E+01,240.1884,M,1000,18,1
37,3.33E+00,4.11,Arg,2,0.05,6.66E+01,273.8082,M,0,20,1
38,2.88E+00,4.11,Arg,2,0.05,5.75E+01,236.325,M,100,20,1
39,4.39E+00,4.11,Arg,2,0.05,8.78E+01,360.9402,M,1000,20,1
40,1.88E+00,4.11,Arg,2,0.05,3.77E+01,154.7826,M,0,22,1
41,3.39E+00,4.11,Arg,2,0.05,6.78E+01,278.658,M,100,22,1
42,2.56E+00,4.11,Arg,2,0.05,5.13E+01,210.6786,M,1000,22,1
43,2.70E+00,4.11,Arg,2,0.05,5.40E+01,222.1044,M,0,24,1
44,2.07E+00,4.11,Arg,2,0.05,4.15E+01,170.4828,M,100,24,1
45,2.83E+00,4.11,Arg,2,0.05,5.66E+01,232.4616,M,1000,24,1
46,3.16E+00,4.11,Arg,2,0.05,6.33E+01,260.0808,E,0,16,1
47,3.46E+00,4.11,Arg,2,0.05,6.91E+01,284.1654,E,100,16,1
48,1.99E+00,4.11,Arg,2,0.05,3.97E+01,163.2492,E,1000,16,1
49,2.20E+00,4.11,Arg,2,0.05,4.40E+01,180.7578,E,0,18,1
50,4.69E+00,4.11,Arg,2,0.05,9.37E+01,385.1892,E,100,18,1
51,2.87E+00,4.11,Arg,2,0.05,5.74E+01,235.9962,E,1000,18,1
52,3.44E+00,4.11,Arg,2,0.05,6.88E+01,282.8502,E,0,20,1
53,3.09E+00,4.11,Arg,2,0.05,6.18E+01,254.1624,E,100,20,1
54,3.64E+00,4.11,Arg,2,0.05,7.28E+01,299.3724,E,1000,20,1
55,3.16E+00,4.11,Arg,2,0.05,6.32E+01,259.8342,E,0,22,1
56,3.05E+00,4.11,Arg,2,0.05,6.10E+01,250.71,E,100,22,1
57,2.95E+00,4.11,Arg,2,0.05,5.91E+01,242.7366,E,1000,22,1
58,2.86E+00,4.11,Arg,2,0.05,5.71E+01,234.7632,E,0,24,1
59,1.71E+00,4.11,Arg,2,0.05,3.41E+01,140.3154,E,100,24,1
60,3.25E+00,4.11,Arg,2,0.05,6.51E+01,267.4788,E,1000,24,1
M0,3.43E+00,2.01,Cys,2,0.05,6.86E+01,137.9664,,,,
M0,2.61E+00,2.01,Cys,2,0.05,5.23E+01,105.0828,,,,
31,2.33E+00,2.01,Cys,2,0.05,4.67E+01,93.7866,M,0,16,1
32,1.77E+00,2.01,Cys,2,0.05,3.53E+01,70.9932,M,100,16,1
33,2.66E+00,2.01,Cys,2,0.05,5.32E+01,106.8516,M,1000,16,1
34,2.05E+00,2.01,Cys,2,0.05,4.11E+01,82.5708,M,0,18,1
35,1.42E+00,2.01,Cys,2,0.05,2.84E+01,57.1644,M,100,18,1
36,2.18E+00,2.01,Cys,2,0.05,4.36E+01,87.5556,M,1000,18,1
37,1.87E+00,2.01,Cys,2,0.05,3.73E+01,74.973,M,0,20,1
38,1.35E+00,2.01,Cys,2,0.05,2.69E+01,54.069,M,100,20,1
39,2.02E+00,2.01,Cys,2,0.05,4.03E+01,81.003,M,1000,20,1
40,1.63E+00,2.01,Cys,2,0.05,3.26E+01,65.526,M,0,22,1
41,1.86E+00,2.01,Cys,2,0.05,3.72E+01,74.772,M,100,22,1
42,2.16E+00,2.01,Cys,2,0.05,4.31E+01,86.631,M,1000,22,1
43,1.39E+00,2.01,Cys,2,0.05,2.78E+01,55.7976,M,0,24,1
44,2.74E+00,2.01,Cys,2,0.05,5.48E+01,110.1882,M,100,24,1
45,1.39E+00,2.01,Cys,2,0.05,2.78E+01,55.9584,M,1000,24,1
46,1.82E+00,2.01,Cys,2,0.05,3.64E+01,73.1238,E,0,16,1
47,2.27E+00,2.01,Cys,2,0.05,4.53E+01,91.1334,E,100,16,1
48,1.86E+00,2.01,Cys,2,0.05,3.72E+01,74.6916,E,1000,16,1
49,2.62E+00,2.01,Cys,2,0.05,5.24E+01,105.2838,E,0,18,1
50,1.84E+00,2.01,Cys,2,0.05,3.67E+01,73.8072,E,100,18,1
51,2.37E+00,2.01,Cys,2,0.05,4.73E+01,95.073,E,1000,18,1
52,2.26E+00,2.01,Cys,2,0.05,4.52E+01,90.7716,E,0,20,1
53,1.83E+00,2.01,Cys,2,0.05,3.66E+01,73.6464,E,100,20,1
54,2.11E+00,2.01,Cys,2,0.05,4.22E+01,84.9024,E,1000,20,1
55,1.84E+00,2.01,Cys,2,0.05,3.68E+01,73.968,E,0,22,1
56,2.68E+00,2.01,Cys,2,0.05,5.36E+01,107.736,E,100,22,1
57,2.32E+00,2.01,Cys,2,0.05,4.63E+01,93.1032,E,1000,22,1
58,2.31E+00,2.01,Cys,2,0.05,4.61E+01,92.7414,E,0,24,1
59,2.08E+00,2.01,Cys,2,0.05,4.17E+01,83.7366,E,100,24,1
60,2.06E+00,2.01,Cys,2,0.05,4.12E+01,82.7316,E,1000,24,1
M0,6.29E+00,4.02,Lys,2,0.05,1.26E+02,505.716,,,,
M0,7.31E+00,4.02,Lys,2,0.05,1.46E+02,587.322,,,,
31,6.18E+00,4.02,Lys,2,0.05,1.24E+02,497.1936,M,0,16,1
32,5.69E+00,4.02,Lys,2,0.05,1.14E+02,457.3152,M,100,16,1
33,5.13E+00,4.02,Lys,2,0.05,1.03E+02,412.6128,M,1000,16,1
34,4.39E+00,4.02,Lys,2,0.05,8.79E+01,353.2776,M,0,18,1
35,4.98E+00,4.02,Lys,2,0.05,9.97E+01,400.7136,M,100,18,1
36,6.04E+00,4.02,Lys,2,0.05,1.21E+02,485.8572,M,1000,18,1
37,4.57E+00,4.02,Lys,2,0.05,9.14E+01,367.5888,M,0,20,1
38,4.85E+00,4.02,Lys,2,0.05,9.70E+01,390.0204,M,100,20,1
39,6.08E+00,4.02,Lys,2,0.05,1.22E+02,488.43,M,1000,20,1
40,4.97E+00,4.02,Lys,2,0.05,9.93E+01,399.3468,M,0,22,1
41,5.46E+00,4.02,Lys,2,0.05,1.09E+02,438.9036,M,100,22,1
42,4.71E+00,4.02,Lys,2,0.05,9.43E+01,378.9252,M,1000,22,1
43,5.77E+00,4.02,Lys,2,0.05,1.15E+02,463.908,M,0,24,1
44,5.31E+00,4.02,Lys,2,0.05,1.06E+02,426.924,M,100,24,1
45,6.95E+00,4.02,Lys,2,0.05,1.39E+02,558.4584,M,1000,24,1
46,5.29E+00,4.02,Lys,2,0.05,1.06E+02,425.3964,E,0,16,1
47,5.45E+00,4.02,Lys,2,0.05,1.09E+02,437.778,E,100,16,1
48,5.95E+00,4.02,Lys,2,0.05,1.19E+02,478.5408,E,1000,16,1
49,5.67E+00,4.02,Lys,2,0.05,1.13E+02,455.9484,E,0,18,1
50,5.47E+00,4.02,Lys,2,0.05,1.09E+02,440.1096,E,100,18,1
51,6.42E+00,4.02,Lys,2,0.05,1.28E+02,516.4896,E,1000,18,1
52,5.70E+00,4.02,Lys,2,0.05,1.14E+02,458.0388,E,0,20,1
53,5.94E+00,4.02,Lys,2,0.05,1.19E+02,477.7368,E,100,20,1
54,4.58E+00,4.02,Lys,2,0.05,9.15E+01,367.83,E,1000,20,1
55,5.87E+00,4.02,Lys,2,0.05,1.17E+02,471.7068,E,0,22,1
56,5.85E+00,4.02,Lys,2,0.05,1.17E+02,470.0988,E,100,22,1
57,6.07E+00,4.02,Lys,2,0.05,1.21E+02,488.1888,E,1000,22,1
58,5.15E+00,4.02,Lys,2,0.05,1.03E+02,413.658,E,0,24,1
59,4.30E+00,4.02,Lys,2,0.05,8.60E+01,345.5592,E,100,24,1
60,5.27E+00,4.02,Lys,2,0.05,1.05E+02,423.4668,E,1000,24,1
M0,4.71E+00,5.13,Val,2,0.05,9.41E+01,482.9382,,,,
M0,4.94E+00,5.13,Val,2,0.05,9.88E+01,506.7414,,,,
31,4.65E+00,5.13,Val,2,0.05,9.31E+01,477.5004,M,0,16,1
32,4.34E+00,5.13,Val,2,0.05,8.67E+01,444.771,M,100,16,1
33,4.29E+00,5.13,Val,2,0.05,8.57E+01,439.8462,M,1000,16,1
34,3.94E+00,5.13,Val,2,0.05,7.89E+01,404.6544,M,0,18,1
35,4.38E+00,5.13,Val,2,0.05,8.76E+01,449.5932,M,100,18,1
36,3.97E+00,5.13,Val,2,0.05,7.94E+01,407.5272,M,1000,18,1
37,2.53E+00,5.13,Val,2,0.05,5.05E+01,259.1676,M,0,20,1
38,2.45E+00,5.13,Val,2,0.05,4.89E+01,251.0622,M,100,20,1
39,2.41E+00,5.13,Val,2,0.05,4.82E+01,247.1634,M,1000,20,1
40,2.32E+00,5.13,Val,2,0.05,4.64E+01,238.032,M,0,22,1
41,2.31E+00,5.13,Val,2,0.05,4.61E+01,236.493,M,100,22,1
42,2.40E+00,5.13,Val,2,0.05,4.79E+01,245.727,M,1000,22,1
43,2.66E+00,5.13,Val,2,0.05,5.33E+01,273.2238,M,0,24,1
44,2.22E+00,5.13,Val,2,0.05,4.45E+01,228.1824,M,100,24,1
45,2.37E+00,5.13,Val,2,0.05,4.74E+01,243.3672,M,1000,24,1
46,2.32E+00,5.13,Val,2,0.05,4.64E+01,237.8268,E,0,16,1
47,2.29E+00,5.13,Val,2,0.05,4.57E+01,234.6462,E,100,16,1
48,2.48E+00,5.13,Val,2,0.05,4.96E+01,254.2428,E,1000,16,1
49,1.98E+00,5.13,Val,2,0.05,3.96E+01,203.148,E,0,18,1
50,2.05E+00,5.13,Val,2,0.05,4.10E+01,210.2274,E,100,18,1
51,2.10E+00,5.13,Val,2,0.05,4.21E+01,215.8704,E,1000,18,1
52,2.19E+00,5.13,Val,2,0.05,4.39E+01,225.1044,E,0,20,1
53,2.50E+00,5.13,Val,2,0.05,5.01E+01,256.8078,E,100,20,1
54,2.23E+00,5.13,Val,2,0.05,4.46E+01,228.5928,E,1000,20,1
55,1.69E+00,5.13,Val,2,0.05,3.38E+01,173.2914,E,0,22,1
56,2.35E+00,5.13,Val,2,0.05,4.69E+01,240.597,E,100,22,1
57,2.45E+00,5.13,Val,2,0.05,4.89E+01,250.857,E,1000,22,1
58,1.94E+00,5.13,Val,2,0.05,3.89E+01,199.3518,E,0,24,1
59,2.42E+00,5.13,Val,2,0.05,4.84E+01,248.0868,E,100,24,1
60,1.88E+00,5.13,Val,2,0.05,3.76E+01,192.6828,E,1000,24,1
M0,2.65E+00,4.74,Met,2,0.05,5.29E+01,250.746,,,,
M0,2.56E+00,4.74,Met,2,0.05,5.12E+01,242.8776,,,,
31,2.42E+00,4.74,Met,2,0.05,4.83E+01,229.0368,M,0,16,1
32,2.41E+00,4.74,Met,2,0.05,4.82E+01,228.2784,M,100,16,1
33,2.46E+00,4.74,Met,2,0.05,4.93E+01,233.5872,M,1000,16,1
34,2.39E+00,4.74,Met,2,0.05,4.79E+01,226.9512,M,0,18,1
35,2.53E+00,4.74,Met,2,0.05,5.06E+01,239.7492,M,100,18,1
36,2.34E+00,4.74,Met,2,0.05,4.68E+01,221.832,M,1000,18,1
37,2.51E+00,4.74,Met,2,0.05,5.03E+01,238.2324,M,0,20,1
38,2.28E+00,4.74,Met,2,0.05,4.56E+01,216.3336,M,100,20,1
39,2.35E+00,4.74,Met,2,0.05,4.70E+01,222.6852,M,1000,20,1
40,2.22E+00,4.74,Met,2,0.05,4.43E+01,209.982,M,0,22,1
41,2.32E+00,4.74,Met,2,0.05,4.64E+01,219.8412,M,100,22,1
42,2.27E+00,4.74,Met,2,0.05,4.54E+01,215.1012,M,1000,22,1
43,2.14E+00,4.74,Met,2,0.05,4.28E+01,202.872,M,0,24,1
44,2.34E+00,4.74,Met,2,0.05,4.68E+01,221.6424,M,100,24,1
45,2.19E+00,4.74,Met,2,0.05,4.39E+01,207.9912,M,1000,24,1
46,2.26E+00,4.74,Met,2,0.05,4.52E+01,214.3428,E,0,16,1
47,2.48E+00,4.74,Met,2,0.05,4.97E+01,235.4832,E,100,16,1
48,2.44E+00,4.74,Met,2,0.05,4.87E+01,230.838,E,1000,16,1
49,2.38E+00,4.74,Met,2,0.05,4.75E+01,225.15,E,0,18,1
50,2.50E+00,4.74,Met,2,0.05,4.99E+01,236.526,E,100,18,1
51,2.38E+00,4.74,Met,2,0.05,4.75E+01,225.2448,E,1000,18,1
52,2.32E+00,4.74,Met,2,0.05,4.64E+01,219.7464,E,0,20,1
53,2.33E+00,4.74,Met,2,0.05,4.67E+01,221.1684,E,100,20,1
54,2.38E+00,4.74,Met,2,0.05,4.77E+01,225.9084,E,1000,20,1
55,2.38E+00,4.74,Met,2,0.05,4.76E+01,225.8136,E,0,22,1
56,2.27E+00,4.74,Met,2,0.05,4.54E+01,215.0064,E,100,22,1
57,2.39E+00,4.74,Met,2,0.05,4.78E+01,226.572,E,1000,22,1
58,2.41E+00,4.74,Met,2,0.05,4.83E+01,228.8472,E,0,24,1
59,2.29E+00,4.74,Met,2,0.05,4.58E+01,217.2816,E,100,24,1
60,2.31E+00,4.74,Met,2,0.05,4.63E+01,219.2724,E,1000,24,1
M0,2.06E+00,4.77,Tyr,2,0.05,4.13E+01,196.9056,,,,
M0,1.95E+00,4.77,Tyr,2,0.05,3.91E+01,186.4116,,,,
31,2.42E+00,4.77,Tyr,2,0.05,4.84E+01,231.0588,M,0,16,1
32,2.02E+00,4.77,Tyr,2,0.05,4.04E+01,192.708,M,100,16,1
33,1.98E+00,4.77,Tyr,2,0.05,3.95E+01,188.415,M,1000,16,1
34,1.99E+00,4.77,Tyr,2,0.05,3.98E+01,189.846,M,0,18,1
35,1.99E+00,4.77,Tyr,2,0.05,3.98E+01,189.846,M,100,18,1
36,1.97E+00,4.77,Tyr,2,0.05,3.95E+01,188.3196,M,1000,18,1
37,1.91E+00,4.77,Tyr,2,0.05,3.81E+01,181.737,M,0,20,1
38,1.97E+00,4.77,Tyr,2,0.05,3.93E+01,187.5564,M,100,20,1
39,2.02E+00,4.77,Tyr,2,0.05,4.04E+01,192.8988,M,1000,20,1
40,1.79E+00,4.77,Tyr,2,0.05,3.58E+01,170.766,M,0,22,1
41,1.94E+00,4.77,Tyr,2,0.05,3.88E+01,185.2668,M,100,22,1
42,1.94E+00,4.77,Tyr,2,0.05,3.87E+01,184.599,M,1000,22,1
43,1.96E+00,4.77,Tyr,2,0.05,3.91E+01,186.6024,M,0,24,1
44,2.02E+00,4.77,Tyr,2,0.05,4.03E+01,192.4218,M,100,24,1
45,1.89E+00,4.77,Tyr,2,0.05,3.78E+01,180.4014,M,1000,24,1
46,1.88E+00,4.77,Tyr,2,0.05,3.77E+01,179.6382,E,0,16,1
47,1.91E+00,4.77,Tyr,2,0.05,3.82E+01,182.0232,E,100,16,1
48,2.07E+00,4.77,Tyr,2,0.05,4.13E+01,197.0964,E,1000,16,1
49,1.96E+00,4.77,Tyr,2,0.05,3.91E+01,186.6024,E,0,18,1
50,1.95E+00,4.77,Tyr,2,0.05,3.90E+01,186.1254,E,100,18,1
51,1.90E+00,4.77,Tyr,2,0.05,3.80E+01,181.4508,E,1000,18,1
52,1.95E+00,4.77,Tyr,2,0.05,3.91E+01,186.3162,E,0,20,1
53,2.10E+00,4.77,Tyr,2,0.05,4.20E+01,200.4354,E,100,20,1
54,1.91E+00,4.77,Tyr,2,0.05,3.81E+01,181.8324,E,1000,20,1
55,2.06E+00,4.77,Tyr,2,0.05,4.11E+01,196.1424,E,0,22,1
56,2.07E+00,4.77,Tyr,2,0.05,4.14E+01,197.3826,E,100,22,1
57,1.82E+00,4.77,Tyr,2,0.05,3.65E+01,173.9142,E,1000,22,1
58,1.93E+00,4.77,Tyr,2,0.05,3.87E+01,184.5036,E,0,24,1
59,2.18E+00,4.77,Tyr,2,0.05,4.35E+01,207.6858,E,100,24,1
60,1.95E+00,4.77,Tyr,2,0.05,3.89E+01,185.7438,E,1000,24,1
M0,2.80E+00,4.33,Ile,2,0.05,5.60E+01,242.3934,,,,
M0,2.96E+00,4.33,Ile,2,0.05,5.92E+01,256.336,,,,
31,2.90E+00,4.33,Ile,2,0.05,5.80E+01,251.14,M,0,16,1
32,5.40E+00,4.33,Ile,2,0.05,1.08E+02,467.4668,M,100,16,1
33,5.10E+00,4.33,Ile,2,0.05,1.02E+02,441.4868,M,1000,16,1
34,5.36E+00,4.33,Ile,2,0.05,1.07E+02,463.9162,M,0,18,1
35,5.49E+00,4.33,Ile,2,0.05,1.10E+02,475.3474,M,100,18,1
36,5.57E+00,4.33,Ile,2,0.05,1.11E+02,482.362,M,1000,18,1
37,5.48E+00,4.33,Ile,2,0.05,1.10E+02,474.8278,M,0,20,1
38,5.17E+00,4.33,Ile,2,0.05,1.03E+02,447.5488,M,100,20,1
