"batch","amino_acid","sample","ratio","condition","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration","final_concentration_uM","concentration_sample_mM","keep_manual_inspection","mean_concentration_mM","substraction","interval","mean_auc","CORE_value"
1,"Glu","10",3.25,4.49,0.05,65.1,292.1194,"TM",0,22,1,202.2296,1.44449378330373,0.05,50,NA,NA,72.2246891651865,72.2246891651865,0.2921194,"y",0.2022296,0.0001348347,28,9122357.54912758,1.47806857244808e-11
1,"Glu","11",3.34,4.49,0.05,66.7,299.5728,"TM",100,22,1,202.2296,1.48134991119005,0.05,50,NA,NA,74.0674955595027,74.0674955595027,0.2995728,"y",0.2022296,0.0001460148,28,9122357.54912758,1.6006257068269e-11
1,"Glu","12",2.83,4.49,0.05,56.6,254.3136,"TM",1000,22,1,202.2296,1.25754884547069,0.05,50,NA,NA,62.8774422735346,62.8774422735346,0.2543136,"y",0.2022296,7.8126e-05,28,9122357.54912758,8.56423348671218e-12
1,"Glu","13",3.49,4.49,0.05,69.8,313.402,"TM",0,24,1,202.2296,1.54973357015986,0.05,50,NA,NA,77.4866785079929,77.4866785079929,0.313402,"y",0.2022296,0.0001667586,30,10336548.2777019,1.61329097025293e-11
1,"Glu","14",3.18,4.49,0.05,63.6,285.564,"TM",100,24,1,202.2296,1.41207815275311,0.05,50,NA,NA,70.6039076376554,70.6039076376554,0.285564,"y",0.2022296,0.0001250016,30,10336548.2777019,1.20931665621545e-11
1,"Glu","15",3.17,4.49,0.05,63.4,284.5762,"TM",1000,24,1,202.2296,1.40719360568384,0.05,50,NA,NA,70.3596802841918,70.3596802841918,0.2845762,"y",0.2022296,0.0001235199,30,10336548.2777019,1.19498208378186e-11
1,"Glu","16",3.35,4.49,0.05,67,300.83,"T",0,16,1,202.2296,1.48756660746004,0.05,50,NA,NA,74.3783303730018,74.3783303730018,0.30083,"y",0.2022296,0.0001479006,22,6085415.94208765,2.43041069677912e-11
1,"Glu","17",3.5,4.49,0.05,70,314.3,"T",100,16,1,202.2296,1.55417406749556,0.05,50,NA,NA,77.708703374778,77.708703374778,0.3143,"y",0.2022296,0.0001681056,22,6085415.94208765,2.76243401601124e-11
1,"Glu","18",3.15,4.49,0.05,62.9,282.5108,"T",1000,16,1,202.2296,1.39698046181172,0.05,50,NA,NA,69.8490230905861,69.8490230905861,0.2825108,"y",0.2022296,0.0001204218,22,6085415.94208765,1.97885898262344e-11
1,"Glu","19",3.42,4.49,0.05,68.5,307.3854,"T",0,18,1,202.2296,1.51998223801066,0.05,50,NA,NA,75.9991119005329,75.9991119005329,0.3073854,"y",0.2022296,0.0001577337,24,7005915.22298741,2.25143603625766e-11
1,"Glu","20",3.95,4.49,0.05,79,354.71,"T",100,18,1,202.2296,1.75399644760213,0.05,50,NA,NA,87.6998223801066,87.6998223801066,0.35471,"y",0.2022296,0.0002287206,24,7005915.22298741,3.26467838562384e-11
1,"Glu","21",3.53,4.49,0.05,70.7,317.3532,"T",1000,18,1,202.2296,1.56927175843694,0.05,50,NA,NA,78.4635879218472,78.4635879218472,0.3173532,"y",0.2022296,0.0001726854,24,7005915.22298741,2.46485140775604e-11
